report_id,company_name,isin,reported_at,pdf_path,pages_path,blocks_path,year_month,DATE,SYMBOL,COMPANY_NAME,TICKER,SECTOR,MOMENTUM,VALUE,SIZE,BETA,SEDOL,ISIN,RETURNS,report_type
f_4csLsjAhudR2mcDosUbKD5,LULULEMON ATHLETICA INC,US5500211090,2024-03-21,data/reports/LULULEMON_ATHLETICA_INC/f_4csLsjAhudR2mcDosUbKD5_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_4csLsjAhudR2mcDosUbKD5_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_4csLsjAhudR2mcDosUbKD5_blocks.txt,2024-03,2024-03-28,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,44.9034,-0.609,10.8409056169981,1.21702,B23FN39,US5500211090,-0.163652,Annual
f_9tgeLS94nO4peRbBEIbvje,LULULEMON ATHLETICA INC,US5500211090,2024-08-29,data/reports/LULULEMON_ATHLETICA_INC/f_9tgeLS94nO4peRbBEIbvje_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_9tgeLS94nO4peRbBEIbvje_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_9tgeLS94nO4peRbBEIbvje_blocks.txt,2024-08,2024-08-30,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,-32.0468,-0.131,10.4080571305875,0.576961,B23FN39,US5500211090,0.00313151,Quarterly
f_PDplDokn,LULULEMON ATHLETICA INC,US5500211090,2023-08-31,data/reports/LULULEMON_ATHLETICA_INC/f_PDplDokn_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_PDplDokn_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_PDplDokn_blocks.txt,2023-08,2023-08-31,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,26.1935,-0.758,10.8157045347723,1.47869,B23FN39,US5500211090,0.00721216,Quarterly
f_WoQLjVEq,LULULEMON ATHLETICA INC,US5500211090,2023-12-07,data/reports/LULULEMON_ATHLETICA_INC/f_WoQLjVEq_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_WoQLjVEq_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_WoQLjVEq_blocks.txt,2023-12,2023-12-29,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,38.3593,-0.938,11.1104166464813,1.36538,B23FN39,US5500211090,0.144338,Quarterly
f_cC5GK9NDnFMWH7KTPOIlox,LULULEMON ATHLETICA INC,US5500211090,2024-12-05,data/reports/LULULEMON_ATHLETICA_INC/f_cC5GK9NDnFMWH7KTPOIlox_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_cC5GK9NDnFMWH7KTPOIlox_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_cC5GK9NDnFMWH7KTPOIlox_blocks.txt,2024-12,2024-12-31,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,-37.2841,-0.506,10.7941686626877,-0.378504,B23FN39,US5500211090,0.192572,Quarterly
f_cqKXOKpt,LULULEMON ATHLETICA INC,US5500211090,2023-06-01,data/reports/LULULEMON_ATHLETICA_INC/f_cqKXOKpt_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_cqKXOKpt_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_cqKXOKpt_blocks.txt,2023-06,2023-06-30,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,23.4878,-0.746,10.798381243049,1.42182,B23FN39,US5500211090,0.1403009999999999,Quarterly
f_gg6AP8qiabKgJXjpgJ2Xhu,LULULEMON ATHLETICA INC,US5500211090,2024-06-05,data/reports/LULULEMON_ATHLETICA_INC/f_gg6AP8qiabKgJXjpgJ2Xhu_file.pdf,data/reports/LULULEMON_ATHLETICA_INC/f_gg6AP8qiabKgJXjpgJ2Xhu_pages.txt,data/reports/LULULEMON_ATHLETICA_INC/f_gg6AP8qiabKgJXjpgJ2Xhu_blocks.txt,2024-06,2024-06-28,55002110,lululemon athletica inc.,LULU,Consumer Discretionary,-21.5282,-0.316,10.5995180875387,0.808141,B23FN39,US5500211090,-0.0425975,Quarterly
f_0IO932Jd,CBRE GROUP INC,US12504L1098,2023-10-27,data/reports/CBRE_GROUP_INC/f_0IO932Jd_file.pdf,data/reports/CBRE_GROUP_INC/f_0IO932Jd_pages.txt,data/reports/CBRE_GROUP_INC/f_0IO932Jd_blocks.txt,2023-10,2023-10-31,12504L10,"CBRE Group, Inc. Class A",CBRE,Real Estate,4.11615,0.207,9.93175985239127,1.11591,B6WVMH3,US12504L1098,-0.0611969,Quarterly
f_0kP15czH,FLUOR CORP,US3434121022,2023-08-04,data/reports/FLUOR_CORP/f_0kP15czH_file.pdf,data/reports/FLUOR_CORP/f_0kP15czH_pages.txt,data/reports/FLUOR_CORP/f_0kP15czH_blocks.txt,2023-08,2023-08-31,34341210,Fluor Corporation,FLR,Industrials,17.171,0.225,8.51445964658288,0.760603,2696838,US3434121022,0.129438,Quarterly
f_3txkUtqb6AnTpaYkhFNrYp,FLUOR CORP,US3434121022,2024-05-03,data/reports/FLUOR_CORP/f_3txkUtqb6AnTpaYkhFNrYp_file.pdf,data/reports/FLUOR_CORP/f_3txkUtqb6AnTpaYkhFNrYp_pages.txt,data/reports/FLUOR_CORP/f_3txkUtqb6AnTpaYkhFNrYp_blocks.txt,2024-05,2024-05-31,34341210,Fluor Corporation,FLR,Industrials,51.8449,0.241,8.88638162765736,0.923496,2696838,US3434121022,0.0761219,Quarterly
f_7C3XBSMdYnX5wlWmwalrV6,FLUOR CORP,US3434121022,2024-11-08,data/reports/FLUOR_CORP/f_7C3XBSMdYnX5wlWmwalrV6_file.pdf,data/reports/FLUOR_CORP/f_7C3XBSMdYnX5wlWmwalrV6_pages.txt,data/reports/FLUOR_CORP/f_7C3XBSMdYnX5wlWmwalrV6_blocks.txt,2024-11,2024-11-29,34341210,Fluor Corporation,FLR,Industrials,41.189,0.098,9.156544045191,0.849071,2696838,US3434121022,0.073642,Quarterly
f_8waS4iYq,FLUOR CORP,US3434121022,2023-05-05,data/reports/FLUOR_CORP/f_8waS4iYq_file.pdf,data/reports/FLUOR_CORP/f_8waS4iYq_pages.txt,data/reports/FLUOR_CORP/f_8waS4iYq_blocks.txt,2023-05,2023-05-31,34341210,Fluor Corporation,FLR,Industrials,2.94013,0.368,8.27431583698764,0.842967,2696838,US3434121022,-0.0860289,Quarterly
